Parameter,Subject/Group-level,Map Estimate,"Sampling Estimate:
Posterior Mean","Sampling Estimate:
Posterior Standard Deviation",Gelman-Rubin diagnostic
mu_alpha,Group-level,0.500,0.703,0.161,1.090
sigma_alpha,Group-level,6.100,2.785,2.718,1.020
mu_beta,Group-level,-3.643,0.522,0.324,1.050
sigma_beta,Group-level,0.000,1.264,0.248,1.060
alpha,3018Q3ZVOIQGSXZ9L4SKHNWVPJAART,0.486,0.589,0.325,1.110
beta2,3018Q3ZVOIQGSXZ9L4SKHNWVPJAART,0.079,-0.029,0.515,1.020
beta_mb,3018Q3ZVOIQGSXZ9L4SKHNWVPJAART,0.534,0.505,1.105,1.050
beta_mf0,3018Q3ZVOIQGSXZ9L4SKHNWVPJAART,-1.075,-0.741,0.923,1.010
beta_mf1,3018Q3ZVOIQGSXZ9L4SKHNWVPJAART,-0.946,-0.554,0.971,1.010
beta_st,3018Q3ZVOIQGSXZ9L4SKHNWVPJAART,0.157,0.148,0.739,1.020
alpha,30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU,0.471,0.824,0.191,1.130
beta2,30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU,2.042,1.028,0.616,1.010
beta_mb,30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU,0.607,0.425,0.784,1.020
beta_mf0,30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU,2.269,1.305,1.139,1.020
beta_mf1,30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU,2.219,1.704,1.159,1.020
beta_st,30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU,0.216,0.389,0.880,1.020
alpha,30LB5CDZNCATTBNI3JP4EKMHPWMZ0P,0.475,0.737,0.277,1.100
beta2,30LB5CDZNCATTBNI3JP4EKMHPWMZ0P,0.863,0.238,0.445,1.010
beta_mb,30LB5CDZNCATTBNI3JP4EKMHPWMZ0P,-0.545,-0.419,0.949,1.010
beta_mf0,30LB5CDZNCATTBNI3JP4EKMHPWMZ0P,-0.553,-0.431,0.875,1.050
beta_mf1,30LB5CDZNCATTBNI3JP4EKMHPWMZ0P,-0.100,0.489,0.954,1.050
beta_st,30LB5CDZNCATTBNI3JP4EKMHPWMZ0P,0.123,0.051,0.560,1.010
alpha,30LSNF239UVEUV1MI25WXDC6P1A2IO,0.537,0.854,0.111,1.030
beta2,30LSNF239UVEUV1MI25WXDC6P1A2IO,2.902,2.178,0.802,1.010
beta_mb,30LSNF239UVEUV1MI25WXDC6P1A2IO,1.995,0.807,0.868,1.020
beta_mf0,30LSNF239UVEUV1MI25WXDC6P1A2IO,1.566,1.019,1.052,1.010
beta_mf1,30LSNF239UVEUV1MI25WXDC6P1A2IO,1.862,0.899,1.066,1.010
beta_st,30LSNF239UVEUV1MI25WXDC6P1A2IO,-0.212,-0.682,0.881,1.010
alpha,30LSNF239UVEUV1MI25WXDC6P1C2IQ,0.316,0.732,0.271,1.040
beta2,30LSNF239UVEUV1MI25WXDC6P1C2IQ,1.209,1.023,0.705,1.010
beta_mb,30LSNF239UVEUV1MI25WXDC6P1C2IQ,1.283,0.807,1.156,1.010
beta_mf0,30LSNF239UVEUV1MI25WXDC6P1C2IQ,2.792,1.193,1.008,1.010
beta_mf1,30LSNF239UVEUV1MI25WXDC6P1C2IQ,2.290,1.497,1.099,1.020
beta_st,30LSNF239UVEUV1MI25WXDC6P1C2IQ,0.244,0.511,1.029,1.000
